#-text	time begin = 3:14
@say1965m-text	от того насколько у них продвинутая команда / потому что / ну / мы / мы например как / ээ крупный оффлайн игрок четко понимаем что / аа вопрос онлайна / это немножко / другая сфера то есть и обычно положить оффлайн бизнес в онлайн бизнес достаточно сложно //
@isg1963m-text	то е... в этом основная причина / того что авиакомпании настолько как говорится / аa полагаются на сервис онлайн продажи билетов / то есть им просто мм //
@say1965m-text	да / но мы
@isg1963m-text	достаточно большие расходы на перестройку собственного бизнеса? //
@say1965m-text	в том числе //
@isg1963m-text	я просто при... имею перед собой пример очень интересный / ааа платежных систем и банков //
@isg1963m-text	а банки начали развивать онлайн банкинг который по функционалу в онлайне стал / ааа / вровень с платежными / мм эээ системами с там / с предположим с теми же яндекс деньгами / даже иногда в чем-то / п...превышать ну или как минимум вровень // 
@isg1963m-text	а тут ситуация когда не стали опираться на сторонние сервисы а только под себя / то есть у авиакомпаний не такая ситуация? //
@say1965m-text	вы знаете / они стараются со своей стороны на самом деле / активно равивать эти / 
@isg1963m-text	угу
@say1965m-text	компетенци / и
@isg1963m-text	да
@say1965m-text	создавать команды которые занимаются этим онлайном // 
@say1965m-text	но / эээ к большому / сожалению может быть для них / это не так просто сделать то есть это не такой простой бизнес
@isg1963m-text	угу
@say1965m-text	поэтому в данном случае // 
@say1965m-text	аа / онлайн сервисы на некоторый период времени я бы сказал бы даже вырвались вперед
@isg1963m-text	угу
@say1965m-text	с точки зрения / качества продукта / с точки зрения удобства для пользователей / ну и плюс ко всему / многие из них они выросли они из интернет бизнесов а это означает на самом деле что / они прекрасно знают каким образом привести аудиторию / каким образом ее удержать эту аудиторию / и как наиболее эффективно с ней работать в интернете
@say1965m-text	вот но / возвращаясь опять же
@isg1963m-text	угу
@say1965m-text	к / эээ первому вопросу с точки зрения / аа роста вот именно онлайн продаж
@say1965m-text	в целом вот в этом году 
@say1965m-text  из тяжелой на самом деле вот такой ситуации в / экономике / политической ситуации и так далее
@say1965m-text	мы прогнозируем что / э роста глобально / рынка самого виабилетов не будет он будет он будет где-то в нуле плюс минус колебаться
@say1965m-text	но тем не менее онлайн / сам / то есть / он как минимум прирастет ну наверное процентов на двадцать пять дридцать
@isg1963m-text	угу
@say1965m-text	это в минимуме потому что
@say1965m-text	аа вот этот вот переток который мы наблюдаем и видим / то что / оффлайн агенства они реально начинают проигрывать / а онлайн агенства пока / засчет вот этого перетока / чувствуют себя достаточно комфортно
@isg1963m-text	ну вот если говорить да об этой доле / ааа ммм / онлайн агентских продаж котор...и тоже по моим сведениям двадцать тридцать процентов сейчас составляет / можно составить картину кто / мм / сейчас ведущие игроки и какова / их доля рынка именно в этих агентских продажах
@isg1963m-text	онлайн продажах
@say1965m-text	здесь есть определенная
@isg1963m-text	угу
@say1965m-text	сложность связана она в большей степени с тем что рынок закрытый с точки зрения
@isg1963m-text	угу
@say1965m-text	цифр
@say1965m-text	то есть ээ глобально общие объемы пределить можно / как он распределяется по агенствам с 
@isg1963m-text	угу
@say1965m-text	учетом того что есть возможность у агенства выписывать
@isg1963m-text	аа в разных местах / то есть сейчас для удобства пользования / для того чтоб найти наиболее дешевый тариф / очень часто / мм агенства такие как мы и / м / крупные агенства все / они работают с разными / точками продаж то есть
@isg1963m-text	угу
@say1965m-text	условно говоря
@say1965m-text	аа вы можете не удивиться если зайдете на популярный сайт / купите билет / и по факту он окажется что он выписан как будто бы например в Америке или в Германии / то есть /
@isg1963m-text	угу
@say1965m-text	аа / потому что / аа / мы стараемся найти ту перевозку которая будет наиболее дешевая для потребителя / потому что сейчас к сожалению большому / вот как раз больше работает / именно / аа стоимость перевозки и ее дешевизна / нежели чем бренд или какие-то другие удобные сервисы для пользователя
@say1965m-text	хотя рынок немножко разворачивается
@say1965m-text	вот / но тем не менее / из... за счет того что мы берем билеты с разных рынков / и / это вообще не поддается никакому подсчету мы можем только ориентироваться на цифры которые / ааа / декларируют сами на самом деле агенства
@say1965m-text	и в данном случае то есть /  э достаточно
@say1965m-text	трудно все-таки определить / то есть кто какую долю занимает / но если мы говорим конкретно про игроков нашего рынка / с моей точки зрения / а  / на сегодня / первое место там занимает азон трэвл потому что у него есть собственная / аудитория / с / его мамой / то есть зона основного
@isg1963m-text	угу 
@say1965m-text	то есть и там огномное количество пользователей который...с которым они достаточно активно работают сейчас
@say1965m-text	плюс / это очень профессиональная команда которая / все каналы продаж использует максимально эффективно
@say1965m-text	аа если говорить про второго третьего четвертого пятого это целый такой пул наверное игроков сейчас это и тот же ван ту три пэт / аа / и / а  тикетс ру мы где-то рядом / да то есть здесь / тяжело сказать / потому что очень сложно сравнить на самом деле и понять / где же вот эти вот реальные цифры и к большому сожалению / все попытки даже / аа агенств которые работают с точки зрения подсчета результатов и вот и / оценки рынка / они / оперируют общими цифпами / а как только доходит до конкретных цифр каждого из агенств тут приходится им / верить на слово / но если мы возьмем / и тупо посчитаем / объем каждого из этих агенств к сожалению не получится общая цифра
@isg1963m-text	#смеётся#
@say1965m-text	ну вот такова специфика / то есть / эти цифры закрыты и многие из них на самом деле они / аа поскольку / наша отрасль она все-таки пока / не публичная / и тех игроков которые реально там / а / привлекают деньги на открытом рынке их практически нету / поэтому вот этой информации к сожалению приходится верить только вот / аа разговария с экспертами рынка 

